direction,total,over_30_count,over_35_count,over_40_count,over_45_count,pct_over_30_raw,pct_over_30_cut10,pct_over_30_cut15,pct_over_30_cut20
NB,16108.0,7491.0,2812.0,355.0,35.0,46.504842314377946,48.30410110910498,49.412928759894456,53.42700235361244
SB,13689.0,11278.0,7464.0,2556.0,470.0,82.38731828475419,83.06083370157607,84.00119171756293,84.93109420890127
